FantasyPoints,Player,Position,Points,Rebounds,Assists,Blocks, Turnovers
18,Michael Carter-Williams\cartemi01,SG,8.8,4,4.2,0.5,2.2
18,Dāvis Bertāns\bertada01,PF,11.5,3,0.9,0.2,0.6
16,Dwayne Bacon\bacondw01,SG,10.9,3,1.3,0.1,0.6
26,Derrick Rose\rosede01,PG,14.7,3,4.2,0.4,1.6
19,Cedi Osman\osmande01,SF,10.4,3,2.9,0.2,1.4
22,Alec Burks\burksal01,SG,12.7,5,2.2,0.3,1.0
23,Wendell Carter Jr.\cartewe01,C,11.2,8,1.9,0.8,1.4
17,Lonnie Walker\walkelo01,SG,11.2,3,1.7,0.3,1.1
21,Monte Morris\morrimo01,PG,10.2,2,3.2,0.3,0.7
19,Chuma Okeke\okekech01,PF,7.8,4,2.2,0.5,0.8
21,Josh Jackson\jacksjo02,SG,13.4,4,2.3,0.8,2.3
20,R.J. Hampton\hamptrj01,SG,11.2,5,2.8,0.3,1.6
20,Grayson Allen\allengr01,SG,10.6,3,2.2,0.2,1.0
21,Daniel Theis\theisda01,C,10.0,6,1.8,0.6,1.1
15,Gary Harris\harriga01,SG,10.2,2,2.3,0.4,1.2
23,Jalen Brunson\brunsja01,PG,12.6,3,3.5,0.0,1.2
24,Kevin Love\loveke01,PF,12.2,8,2.5,0.1,1.5
16,Maurice Harkless\harklma01,PF,6.9,3,1.4,0.6,0.7
18,Patty Mills\millspa02,PG,10.8,2,2.4,0.0,1.0
28,Andre Drummond\drumman01,C,11.9,10,1.4,1.0,2.0
23,Wendell Carter Jr.\cartewe01,C,10.9,8,2.2,0.8,1.5
23,Oshae Brissett\brissos01,SF,10.9,6,0.9,1.0,0.5
21,Daniel Theis\theisda01,C,9.6,5,1.7,0.9,1.0
21,Daniel Theis\theisda01,C,9.5,5,1.6,1.0,1.0
21,Doug McDermott\mcderdo01,PF,13.6,3,1.3,0.1,0.8
19,James Johnson\johnsja01,PF,9.2,4,2.2,0.9,1.3
21,Carmelo Anthony\anthoca01,PF,13.4,3,1.5,0.6,0.9
28,Enes Kanter\kanteen01,C,11.2,11,1.2,0.7,1.1
27,Thaddeus Young\youngth01,PF,12.1,6,4.3,0.6,2.0
15,Aleksej Pokusevski\pokusal01,PF,8.2,5,2.2,0.9,2.2
20,Nerlens Noel\noelne01,C,5.1,6,0.7,2.2,1.0
29,Chris Boucher\bouchch01,C,13.6,7,1.1,1.9,0.8
17,Sterling Brown\brownst02,SG,8.2,4,1.4,0.2,0.8
16,Jaden McDaniels\mcdanja02,PF,6.8,4,1.1,1.0,0.7
17,Cameron Johnson\johnsca02,PF,9.6,3,1.4,0.3,0.7
22,Danilo Gallinari\gallida01,PF,13.3,4,1.5,0.2,0.8
16,James Ennis\ennisja01,SF,8.4,4,1.5,0.2,0.9
23,Brandon Clarke\clarkbr01,PF,10.3,6,1.6,0.9,0.6
21,Ty Jerome\jeromty01,SG,10.7,3,3.6,0.2,1.4
17,Tristan Thompson\thomptr01,PF,7.6,8,1.2,0.6,1.1
28,Jusuf Nurkić\nurkiju01,C,11.5,9,3.4,1.1,2.0
21,Hamidou Diallo\diallha01,SG,11.9,5,2.4,0.4,1.5
19,Taurean Prince\princta02,PF,10.1,4,2.4,0.5,1.2
20,Kenyon Martin Jr.\martike04,SF,9.3,5,1.1,0.9,0.8
17,Elfrid Payton\paytoel01,PG,10.1,3,3.2,0.1,1.6
20,Hamidou Diallo\diallha01,SG-SF,11.6,5,1.9,0.5,1.5
16,Austin Rivers\riverau01,SG,7.9,2,2.3,0.1,1.0
